,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.3135584599549169
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.40395350694059695
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.35891088094056894
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.305170908294798
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.29776157747345916
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.36173180775430397
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.3766712363215426
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.3125740670939916
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.35958280063746134
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.3686533573655433
10,5,0.6523663427807161,0.507685175279865,0.01,1.0,10,0.3887136114309012
11,5,0.5,0.012890182671676442,0.4003730249806828,1.6891159881579643,18,0.40680614533391185
12,5,0.5,0.22446921016017368,0.2846392460704767,1.0,89,0.3897649921726374
13,7,0.5,0.0832442798526542,0.01,1.7672864410124562,17,0.39626242739507705
14,5,0.5,0.001,1.0,1.0,10,0.41023451087525853
15,5,0.5,0.001,1.0,2.0,100,0.4175449845098549
16,6,0.5,0.001,1.0,1.0,60,0.4090359460381823
17,5,1.0,0.001,0.07376506057535503,1.9850606222120277,100,0.40268427429948855
18,5,0.7700697050364623,0.001,1.0,1.7180023886083653,100,0.41048275192655764
19,5,1.0,0.057543129413313215,1.0,1.6435039728747602,10,0.37736131609708007
20,5,0.5,0.001,0.01,1.0,100,0.42272336284455675
21,11,0.5069214296402267,0.948408120208099,0.023863324993776188,1.1274995936468335,13,0.36350399770481945
22,99,0.9393012811637121,0.0014003651141282403,0.7998686465483225,1.2647511745153026,14,0.3310306258875302
23,5,0.5,0.001,0.01,2.0,100,0.4175449845098549
24,5,0.5,0.006361490192435084,0.032344860089750564,1.0,100,0.42272336284455675
25,5,0.5,0.002527218536818259,1.0,1.0,100,0.42272336284455675
26,5,0.5873481757329653,0.005890312065581077,0.01,1.0,100,0.42308642046234823
27,5,1.0,0.034042562973265064,0.01,1.0,100,0.3791794043549767
28,5,0.9922811414040044,0.0020058543904611877,0.01886100858038208,1.9929877220283558,10,0.37480968746685905
29,9,0.5128111978305641,0.0030078257294605362,0.05113424567091523,1.286125057491885,10,0.39070143956126796
30,12,1.0,1.0,0.013935955583752688,1.0,10,0.37617126853606697
31,11,0.9839681063900215,0.001048573520558874,0.08824424374461223,1.0000973871037948,75,0.36635496139149093
