,method,num_topics,fold 1 score,fold 2 score,fold 3 score,fold 4 score,fold 5 score,fold 6 score,fold 7 score,fold 8 score,fold 9 score,fold 10 score,fold 11 score,mean score
0,tfidf,1,0.346386113383073,0.34880048885890325,0.3496658664915243,0.3510599792592853,0.35193040508779727,0.3556159796820624,0.34607133524835476,0.3602476525671685,0.33916542485035167,0.3501350801084846,0.35131593741115763,0.35003584208619665
1,tfidf,50,0.4215899717434318,0.41069659590656016,0.4294100352085099,0.44447530169273364,0.4361353061921758,0.4161679476956969,0.40289517828179783,0.4167356574495408,0.40887515563442656,0.4206634352363347,0.412882828605386,0.42004794669514484
2,tfidf,100,0.6602455242652122,0.6704698478203431,0.6683009691992016,0.5932552745727653,0.6672493266380383,0.6499475854373188,0.6250812810608498,0.6650165968150941,0.6403760534890087,0.6244058714139387,0.6316122652625498,0.6450873269067564
3,bow,1,0.3390751239996318,0.34379229196883854,0.33544738807041624,0.3439449428322553,0.3253509296676163,0.3326167526776595,0.3374605318118073,0.3315435296556938,0.3290422597427546,0.3412983988086445,0.32692979913890574,0.335136540761293
4,bow,50,0.4327999974663411,0.4019008600133682,0.4358971705677066,0.4386455160544002,0.3986168930025116,0.42811697104995766,0.4107257198294589,0.40866873856041364,0.4087084992537012,0.416823948466346,0.425059519709485,0.4187239849066992
5,bow,100,0.4388699912101805,0.4463002491723681,0.43686974200078005,0.44295127582436905,0.41597406310936624,0.4265418893539358,0.4450594730480123,0.4533258560793047,0.4275396722175453,0.43887039744801,0.44361658927252035,0.4378108362487629
