,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.37372521995887703
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.42784979531798156
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.38852204299917065
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.5462801753506985
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.580531098260321
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.3626683615173616
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.4293731846599177
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.5460655148762136
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.3699285808444454
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.3716081139101236
10,51,0.531928189352107,0.011006054287255812,0.018189961497675763,1.2286348844613817,26,0.6068201390879951
11,41,0.5,0.9278845685424605,0.8826646803850674,1.639960501400104,15,0.4964696600725639
12,56,0.5627571144499002,0.005287980012390146,0.01,1.1151366422605067,26,0.5749040909663312
13,66,0.5446816924149478,0.04936307126750775,0.012606337806443579,1.1427022152546678,53,0.5387593456020902
14,41,0.5,0.001,0.7931813476062166,1.3083521134244551,27,0.6367316965546373
15,27,0.5,0.001,0.040547603791215525,1.4191221682373447,74,0.6015143546158863
16,51,0.5,0.001,0.01,2.0,10,0.550730307794134
17,31,0.5,0.001,0.097839523046553,1.0,14,0.599751190308522
18,42,0.5377197827666879,0.001,0.01854999207547057,1.3582638141458114,69,0.6044799635371942
19,59,0.5,0.001,1.0,1.106750827403519,100,0.6084738883803116
20,40,0.5,0.0031758398524006945,1.0,1.2649187263486765,97,0.6178094710601836
21,100,0.6617549169144713,0.001,1.0,1.6374123739330433,46,0.48467361566503864
22,18,0.5,1.0,0.7710743160095579,1.0,28,0.3589153160967897
23,44,0.5508018277281234,0.001,1.0,1.181130866760831,100,0.5981211050572499
24,48,0.5,0.001,0.01,1.3209598960219502,10,0.6289209702959041
25,100,0.6301236391664026,1.0,1.0,2.0,10,0.42708086521487004
26,51,0.5,0.0027647993605433383,1.0,1.3894116330464352,100,0.6263092196517455
27,5,1.0,0.001,0.8610528014590383,1.0,28,0.4306508325454197
28,100,1.0,0.001,0.827545035739965,1.0,12,0.4485329952933097
29,100,0.5,0.001,0.09849702650818644,1.366023869476254,11,0.5920552153089959
30,5,1.0,0.001,0.14549316947068208,2.0,38,0.42507689683536265
31,5,0.5,1.0,0.04222662829590893,2.0,12,0.42996078337926064
