,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.670851714803525
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.5706919615115547
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.4352059078109647
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.5654350975164475
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.645867797144471
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.4415323103728796
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.43788175555443337
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.6083329634449152
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.5335526925928776
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.6502734785568213
10,7,0.9357092775274988,0.10473485039140212,0.3021010471501688,1.527189804796088,68,0.43440216562078104
11,8,0.9489712447192764,0.0011010519938774862,0.9617634771807889,1.8514097261614142,68,0.38180363494149694
12,27,0.7589992601962381,0.08174605366875394,0.23697039074088355,1.8538609039199552,100,0.665367648824282
13,57,0.5728405461421675,0.009768177065192498,0.5965578746545026,1.929623283439691,45,0.6703271726983477
14,15,0.6725652203500474,0.022390277758260874,0.564957560100961,1.9947173654611507,68,0.6437018322848831
15,5,0.5344523408620587,0.0286784038363184,0.06727187895476217,2.0,11,0.5371513235101298
16,100,0.8223193820517974,0.009345904455295513,0.30561342808338193,1.6187306042551421,11,0.6337821316305794
17,18,0.5090416619713982,0.9882576221634322,1.0,1.2383658965774056,17,0.40232499738088806
18,30,0.7944021125721172,0.04790886483396008,0.2695647571323919,1.8984412296663842,100,0.6544297247595209
19,67,0.6448144778380036,0.0015495186398044663,0.021056563204705853,1.6715632120002974,41,0.6437036480883084
20,49,0.5706267835368957,0.3100743987861249,0.8947332525639928,1.7876002304289609,12,0.6358945032184051
21,67,0.5713459877551029,0.001,0.4260228277703671,2.0,100,0.6556243017392633
22,51,0.5838480390615117,0.001,0.7267724993837863,1.8870940311991895,100,0.6709177856530705
23,50,0.6013235485216719,0.004655968163449349,0.18614468199518705,1.983288258915157,100,0.6732823650022338
24,22,0.7883655171409044,0.283696105843414,0.0446606323721517,2.0,10,0.5884132502733269
25,31,0.7854100778616001,0.0018161442250263912,0.569725639381676,1.7606144738265428,100,0.6734773614550199
26,25,0.7608507043910202,0.8559100019193487,0.013401973359221773,1.7095777148199427,100,0.3960730249893791
27,100,0.5205377211706756,0.0014078759215400208,0.010123172265336669,2.0,72,0.6426160145987229
28,76,0.6680584182094895,0.0010743107124563279,1.0,2.0,23,0.6553385114737967
29,100,0.5979885875765192,0.0021443020815461156,0.04475635128675422,2.0,21,0.6381945868472527
30,100,0.6552183077797926,0.0014766099991033084,0.44082211564544765,1.0,12,0.4350312528386845
31,68,0.8001476861721182,0.07105234954050427,0.6824781525081708,1.6653415853292115,31,0.6609183003430067
