,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.6124082499431581
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.44281107598500197
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.5369981880327626
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.533694426245839
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.6154244518723523
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.3754789817418831
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.4398699986183544
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.5375601716230904
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.4840626308522104
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.574276781841906
10,37,0.543959917103628,0.7474706227871402,0.30896564958365613,1.3404840979382933,100,0.5337111795282231
11,6,0.794104522868875,0.012089308770396559,0.24745931376970315,1.7141582909024582,42,0.4972389253598389
12,29,0.7115018053056559,0.025062167996620185,0.33241583691867704,1.9252279157616938,100,0.6517014628110658
13,100,0.7548071577189112,0.001,1.0,1.0,66,0.35175327049632266
14,40,0.6498567536167317,0.00759577265606391,0.3281214831464372,2.0,100,0.6662004539559606
15,100,0.6094705636184122,0.0056494740254177216,0.16007449444732097,2.0,50,0.6511911394887391
16,43,1.0,1.0,1.0,2.0,10,0.4848646598672062
17,72,0.513545632905604,0.0233645368423788,1.0,2.0,100,0.6339704017055989
18,35,1.0,0.001,0.0161398857823461,2.0,10,0.5070893982009292
19,100,0.5,0.07406110226675126,0.044759952127015334,2.0,100,0.6221419074665682
20,60,0.5,0.015142795004772872,0.23016549049894364,2.0,100,0.6245288051524278
21,50,0.643655572529954,0.019000651234390542,1.0,1.887835501612593,100,0.6105553005109603
22,100,0.5,0.005286576360883918,0.01,1.0,100,0.36684934119840384
23,27,0.7178935208987607,0.004640793362728923,0.7624301959866214,2.0,97,0.6547967621671499
24,5,0.8844099226346209,0.001,0.012144912669311888,2.0,69,0.4427644096062629
25,100,0.7535360070889111,0.002471364498431004,1.0,2.0,100,0.6475665654532663
26,24,1.0,0.012070584559031365,0.01,2.0,100,0.45048996720301276
27,49,0.8028570342648875,0.001,0.42883426478709613,2.0,100,0.6625416287190476
28,100,0.931227321175317,0.0023908439029589035,0.09495644196334432,2.0,15,0.6223281237763674
29,100,0.690464066091051,0.002759744738666808,0.40107520059084495,2.0,44,0.6529958535032797
30,36,1.0,0.001,0.3485726475644801,2.0,45,0.53793129754566
31,42,0.7040062003387049,0.001,1.0,1.9696155843671008,55,0.6467827011875511
