,num_topics,decay,gamma_threshold,minimum_probability,offset,iterations,score
0,25,0.7988959434729821,0.0738123883248774,0.19649879077896718,1.813458627272393,96,0.637960785019795
1,5,0.5649047390921704,0.0023341526664343334,0.01964987907789672,1.282308892745557,30,0.4222023300278733
2,12,0.950052740124882,0.013125905036392698,0.6213837363304282,1.5249308588842774,17,0.288912590133041
3,52,0.6717887350271649,0.41507756266076207,0.06213837363304282,1.0782889511576987,54,0.6229172738498158
4,75,0.5180199297730002,0.005535148258182418,0.34942975373978347,1.6629488933931775,72,0.6553104929156383
5,17,0.7325908102645351,0.1750367568257016,0.03494297537397835,1.175882439284981,23,0.43384455439050196
6,8,0.8712022039521935,0.9843040179038592,0.011049939040494556,1.977590655909068,40,0.3342182390469448
7,36,0.6160329861992617,0.031126426066313537,0.11049939040494555,1.3983677632044544,13,0.615509040876467
8,43,0.9921151684357393,0.6391889491134285,0.04659720656475537,1.3390815576677118,15,0.5985023526079742
9,10,0.7015313633189451,0.020212929344079,0.46597206564755367,1.8937472999773675,47,0.5112879472287959
10,20,0.5,0.0028963311666428838,1.0,1.8479471860906258,100,0.634889654113443
11,100,0.5,0.002682908790807679,1.0,1.9655101286385974,13,0.6537950475247909
12,76,0.5724580974577839,0.0025834045874700666,1.0,2.0,17,0.647662014908085
13,100,0.8079903733814541,0.23743738831380365,0.01,1.3000712193885202,10,0.6399949027696897
14,100,1.0,0.001,1.0,2.0,100,0.4158065740871591
15,100,0.5,0.0010055231065223679,0.01,1.0,31,0.509551987524302
16,100,1.0,1.0,0.01,1.0,100,0.4091083938387229
17,75,0.584408835975564,0.011153052618009748,1.0,1.8966122572440018,13,0.6560683503367702
18,41,0.5093153331217721,0.001,1.0,2.0,77,0.6761958542331865
19,5,0.5,0.001,1.0,2.0,100,0.4437765235818186
20,32,0.5958450680512032,0.001,1.0,2.0,81,0.6743284863020385
21,53,0.5,0.001,1.0,1.6607450410566187,96,0.6466774611154302
22,24,0.5,0.001,1.0,1.952308265375374,55,0.6488422186585309
23,100,1.0,0.06950135297689386,1.0,2.0,15,0.3911558795878101
24,49,0.7539088549659216,1.0,0.36749141221676973,2.0,100,0.6145515320710457
25,67,0.7336652645160328,0.03081587506440215,0.019118334001228508,1.3843224039000532,100,0.6516185635022976
26,43,0.52355835438247,1.0,1.0,2.0,100,0.5619309046247136
27,100,0.6774490919115054,1.0,0.0105319054037956,1.359617824828522,10,0.5931635852562643
28,37,0.8143528364936011,0.001,0.8378932570854128,2.0,25,0.6262496790393319
29,82,0.7643886901884454,0.001,0.6957953034690593,1.0,91,0.5071993978689492
30,38,0.8138911410704427,0.0036692595714773522,0.01,1.7616516988954702,40,0.6635751296743839
31,41,0.6625658161611394,0.001,0.029987372846138734,1.7690606046683344,75,0.6768008437602836
