,genre,topic,word,frequency
0,country,4,home,0.13624940254178042
1,country,4,tree,0.02447116609606629
2,country,4,house,0.019239190748146145
3,country,4,place,0.018179889927773377
4,country,4,hill,0.015184610977533252
5,country,4,land,0.014475391786411964
6,country,4,brother,0.012723582798271056
7,country,4,ti,0.012313009271928877
8,country,4,cotton,0.01213449603058975
9,country,4,mother,0.01179788562487227
10,country,4,mountain,0.011226772284400168
11,country,4,watermelon,0.009702333266363295
12,country,4,day,0.009583827339119043
13,country,4,garden,0.009459388886804147
14,country,4,daddy,0.009058445521470065
15,country,4,meat,0.008603157952031381
16,country,4,ground,0.007611148389695491
17,country,4,flower,0.007564970491775853
18,country,4,stone,0.007550916939416371
19,country,4,family,0.0075333714741045695
20,country,4,field,0.00726746351743859
21,country,4,somebody,0.007204262005514704
22,country,4,mama,0.0070064678878714055
23,country,4,snow,0.006701578162233546
24,country,4,mile,0.006167484608407029
25,country,4,tennessee,0.00607657958951404
26,country,4,grass,0.006002763840500009
27,country,4,year,0.005765838894502587
28,country,4,hair,0.005512632779265538
29,country,4,winter,0.005291757710040488
30,country,4,sister,0.005221102511075111
31,country,4,road,0.005193818953167832
32,country,4,town,0.00510061336101766
33,country,4,pine,0.004827709473697157
34,country,4,cross,0.004772570152112372
35,country,4,man,0.0045935931284343595
36,country,4,plantain,0.004502875652031792
37,country,4,city,0.004412709567437369
38,country,4,sweet,0.004161459920183758
39,country,4,pie,0.004064840649241033
40,country,4,mercy,0.003942084691344212
41,country,4,rose,0.003692158982401213
42,country,4,hole,0.003513624572976181
43,country,4,summer,0.0034976027954633916
44,country,4,meaner,0.0034529046425861463
45,country,4,virginia,0.0033802960646173576
46,country,4,georgia,0.003340402476135487
47,country,4,time,0.003280652852404513
48,country,4,spring,0.003244086641473507
49,country,4,ye,0.003216613352608165
50,rap,4,ci,0.021542687655006887
51,rap,4,som,0.019510940777756156
52,rap,4,tak,0.017846558821591228
53,rap,4,mig,0.014370295722793525
54,rap,4,mai,0.013933409162896334
55,rap,4,לא,0.013491301802686024
56,rap,4,זה,0.008031427266458401
57,rap,4,לי,0.007807100030077409
58,rap,4,noch,0.0076915753234308585
59,rap,4,opp,0.007225434968341006
60,rap,4,v,0.0063641903940752954
61,rap,4,tiene,0.005762137790113305
62,rap,4,על,0.005118067285656888
63,rap,4,jsem,0.0050954038837663805
64,rap,4,col,0.00393804510602944
65,rap,4,מה,0.0037750206871224362
66,rap,4,כל,0.003694611470611266
67,rap,4,že,0.0034797041385006594
68,rap,4,si,0.003458080588628151
69,rap,4,כמו,0.003427843347764365
70,rap,4,שלי,0.0031709140235402513
71,rap,4,של,0.002618551154632371
72,rap,4,main,0.0025530224167378108
73,rap,4,רק,0.0025506099660397873
74,rap,4,יש,0.0025278932791599662
75,rap,4,porta,0.0024933449998882935
76,rap,4,ha,0.0024731500961918187
77,rap,4,raz,0.0024266192505813158
78,rap,4,mám,0.002313386863178799
79,rap,4,dag,0.0022375706862944353
80,rap,4,אין,0.00223160825487471
81,rap,4,tre,0.002200777336670929
82,rap,4,אז,0.0021936017817584864
83,rap,4,co,0.002168871604805725
84,rap,4,אבל,0.002150637886775786
85,rap,4,אתה,0.0021249568730567843
86,rap,4,mamy,0.002073935406429556
87,rap,4,xans,0.0020617536064832715
88,rap,4,én,0.0020494427837897764
89,rap,4,אם,0.002021570147283941
90,rap,4,mən,0.0019462341693496157
91,rap,4,lai,0.0019399760083259816
92,rap,4,fou,0.0019262725557619871
93,rap,4,פה,0.001921390571798566
94,rap,4,van,0.001851722796924875
95,rap,4,עוד,0.0017289789406645009
96,rap,4,még,0.001681470521489305
97,rap,4,ki,0.0016794467059603475
98,rap,4,vado,0.0016652840648641435
99,rap,4,כי,0.0016009313852022762
100,rb,4,je,0.046324169911866345
101,rb,4,pa,0.029106502605008903
102,rb,4,tu,0.027955080906851355
103,rb,4,le,0.027498324229787024
104,rb,4,que,0.024868970323212006
105,rb,4,la,0.018465182353473854
106,rb,4,dans,0.014783855537125266
107,rb,4,à,0.014699230476899479
108,rb,4,te,0.014166846364599407
109,rb,4,jai,0.013930103665859487
110,rb,4,moi,0.011732253672825974
111,rb,4,toi,0.011230032776398238
112,rb,4,ce,0.011139293788365682
113,rb,4,mon,0.010109877400720805
114,rb,4,cest,0.010023041274529637
115,rb,4,mais,0.009352595558014069
116,rb,4,comme,0.008584809239707395
117,rb,4,ça,0.008492599801539808
118,rb,4,si,0.008347692827950186
119,rb,4,ta,0.008210245679952103
120,rb,4,ella,0.007390093324848985
121,rb,4,ton,0.0065675471985878545
122,rb,4,jsuis,0.006336286502051217
123,rb,4,quand,0.006308781452023909
124,rb,4,et,0.0061314993286821
125,rb,4,sur,0.006124988068739975
126,rb,4,du,0.005993031063982148
127,rb,4,là,0.005799692807177528
128,rb,4,suis,0.005615688466483851
129,rb,4,qui,0.005592482715991454
130,rb,4,sais,0.005464939760168605
131,rb,4,il,0.005335016112762809
132,rb,4,fait,0.00511593045218631
133,rb,4,pour,0.0050453435494303405
134,rb,4,hasta,0.004455913254499268
135,rb,4,faire,0.00418629636770499
136,rb,4,bébé,0.0037744826751672086
137,rb,4,tout,0.0037443583523851668
138,rb,4,ne,0.003676039533153359
139,rb,4,sans,0.0036646465973710317
140,rb,4,cœur,0.0035919780842791674
141,rb,4,dit,0.003590853065790517
142,rb,4,jamais,0.003480903211736902
143,rb,4,ou,0.003364587367691355
144,rb,4,temp,0.0033634256571549335
145,rb,4,trop,0.0033177949483136054
146,rb,4,vu,0.002976224622003545
